"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
89, 2.232000045500000e-02, -2.482329437156798e-02, 1.093336098272898e+05, 1.764259681384548e-01, 7.137592036337826e-01
90, 1.789999939500000e-02, -2.241364555514381e-02, 1.135123367081674e+05, 2.684813874239403e-01, 6.707446662975322e-01
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.182835822284769e+05, 3.735897181205486e-01, 6.210263319407405e-01
92, 1.049000024800000e-02, -1.742916196961543e-02, 1.236822305802402e+05, 4.925194428342373e-01, 5.631575926317942e-01
93, 7.519999985000000e-03, -1.486756313872443e-02, 1.297106481007108e+05, 6.253226908795693e-01, 4.957533350920312e-01
94, 5.040000193000000e-03, -1.226032473458219e-02, 1.362313578795639e+05, 7.689709095459243e-01, 4.168114837569962e-01
95, 3.049999941000000e-03, -9.605565346412577e-03, 1.429126764398170e+05, 9.161572653373382e-01, 3.253141792006251e-01
96, 1.560000004000000e-03, -6.917517506923035e-03, 1.487542282802816e+05, 1.044843948932924e+00, 2.231840110063183e-01
97, 5.600000150000000e-04, -4.173159738460802e-03, 1.533897495936033e+05, 1.146962338162280e+00, 1.102512659196031e-01
98, 5.999999800000000e-05, -1.375329724321098e-03, 1.544164129623935e+05, 1.169579257040496e+00, 2.233805082354280e-03
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.530502830128463e+05, 1.139484046492154e+00, 8.410101868339115e-02
100, 5.999999800000000e-05, 1.375329724321098e-03, 1.516476982588820e+05, 1.108585753473661e+00, 1.676047226207192e-01
101, 5.600000150000000e-04, 4.173159738460802e-03, 1.465706780134253e+05, 9.967413470935405e-01, 2.866425571680752e-01
102, 1.560000004000000e-03, 6.917517506923035e-03, 1.370259442820196e+05, 7.864752802602039e-01, 4.098966914197830e-01
103, 3.049999941000000e-03, 9.605565346412577e-03, 1.280177016609039e+05, 5.880278643003402e-01, 5.169270917804035e-01
104, 5.040000193000000e-03, 1.226032473458219e-02, 1.192556041236042e+05, 3.950029106218543e-01, 6.111684231409378e-01
105, 7.519999985000000e-03, 1.486756313872443e-02, 1.113532733267087e+05, 2.209182203374192e-01, 6.921209373654402e-01
106, 1.049000024800000e-02, 1.742916196961543e-02, 1.045840720222939e+05, 7.179584836395149e-02, 7.604400661987599e-01
107, 1.394999958600000e-02, 1.994492353858276e-02, 9.888466344006649e+04, -5.375948503607354e-02, 8.183819255157574e-01
108, 1.789999939500000e-02, 2.241364555514381e-02, 9.407691675777768e+04, -1.596719194384741e-01, 8.676555561557855e-01
109, 2.232000045500000e-02, 2.482329437156798e-02, 9.002678190326050e+04, -2.488945158951811e-01, 9.097390136440295e-01
110, 2.723000012300000e-02, 2.718419978786347e-02, 8.658059886830325e+04, -3.248123332737820e-01, 9.460039593426004e-01
111, 3.260000050100000e-02, 2.948109446637338e-02, 8.359613090197208e+04, -3.905587813706760e-01, 9.776225291045497e-01
112, 3.844000026600000e-02, 3.171811260404538e-02, 8.099698561347045e+04, -4.478167492009787e-01, 1.005493992294368e+00
113, 4.473999887700000e-02, 3.389028465845557e-02, 7.870115207786212e+04, -4.983928994866650e-01, 1.030400535796427e+00
114, 5.149000138000000e-02, 3.599337852580232e-02, 7.666125857677551e+04, -5.433308092599946e-01, 1.052720602404760e+00
115, 5.869000032500000e-02, 3.802635805630503e-02, 7.484478049244646e+04, -5.833469807980318e-01, 1.072795037142917e+00
116, 6.633000075800000e-02, 3.998513962421356e-02, 7.319856597392177e+04, -6.196123247787844e-01, 1.091156680263368e+00
117, 7.440000027400000e-02, 4.186607976498817e-02, 7.167350522639186e+04, -6.532087072540651e-01, 1.108286424917696e+00
118, 8.290000259900000e-02, 4.366791468532204e-02, 7.024481650516798e+04, -6.846820585904623e-01, 1.124543672181783e+00
119, 9.181000292300000e-02, 4.538527151431038e-02, 6.890288418323395e+04, -7.142442066010636e-01, 1.139983171276177e+00
120, 1.011300012470000e-01, 4.701715290498424e-02, 6.765999425923600e+04, -7.416244964216099e-01, 1.154427379722253e+00
121, 1.108499988910000e-01, 4.856066993422563e-02, 6.652729317313225e+04, -7.665773771383575e-01, 1.167749156466972e+00
122, 1.209499984980000e-01, 5.001187382363489e-02, 6.548977617900295e+04, -7.894333963597742e-01, 1.180047727132402e+00
123, 1.314399987460000e-01, 5.137133628795417e-02, 6.450187775896346e+04, -8.111963413572957e-01, 1.191720306762567e+00
124, 1.422899961470000e-01, 5.263443049277360e-02, 6.352330791018782e+04, -8.327537822471047e-01, 1.203479286823171e+00
125, 1.534900069240000e-01, 5.379977779145956e-02, 6.256900938971721e+04, -8.537765370070401e-01, 1.215073267709463e+00
126, 1.650400012730000e-01, 5.486709202536137e-02, 6.168531774055353e+04, -8.732438550686982e-01, 1.226002134043583e+00
127, 1.769299954180000e-01, 5.583513598033686e-02, 6.087934960654928e+04, -8.909989600615662e-01, 1.235944398569739e+00
128, 1.891400069000000e-01, 5.670228146432130e-02, 6.011477187844823e+04, -9.078422535677224e-01, 1.245478859877815e+00
129, 2.016600072380000e-01, 5.746811193675738e-02, 5.936329659833524e+04, -9.243969062084688e-01, 1.254855598631337e+00
130, 2.144699990750000e-01, 5.813197420944613e-02, 5.863287950019709e+04, -9.404876568459628e-01, 1.264147031700657e+00
131, 2.275699973110000e-01, 5.869456802648413e-02, 5.795274057156106e+04, -9.554708026778870e-01, 1.272843692096348e+00
132, 2.409400045870000e-01, 5.915585896897953e-02, 5.734064254093920e+04, -9.689550390156496e-01, 1.280815258327905e+00
133, 2.545700073240000e-01, 5.951657836311273e-02, 5.679419970951744e+04, -9.809929217000314e-01, 1.287932094675560e+00
134, 2.684499919410000e-01, 5.977765596976551e-02, 5.630007007491341e+04, -9.918783688688841e-01, 1.294432674387575e+00
135, 2.825500071050000e-01, 5.994005483718394e-02, 5.584216792050268e+04, -1.001965741415030e+00, 1.300446989483684e+00
136, 2.968699932100000e-01, 6.000550062925582e-02, 5.540774775382155e+04, -1.011535816638875e+00, 1.306166576859225e+00
137, 3.113999962810000e-01, 5.997565198183213e-02, 5.499043630408192e+04, -1.020728994746353e+00, 1.311725873692278e+00
138, 3.261100053790000e-01, 5.985254444802346e-02, 5.458212929257389e+04, -1.029723809246812e+00, 1.317123919706942e+00
139, 3.409900069240000e-01, 5.963847719943702e-02, 5.418045798057812e+04, -1.038572442357995e+00, 1.322532307471157e+00
140, 3.560400009160000e-01, 5.933561549045978e-02, 5.379168788626075e+04, -1.047136867614361e+00, 1.327814112829778e+00
141, 3.712300062180000e-01, 5.894684318665333e-02, 5.343311869860622e+04, -1.055035980873819e+00, 1.332722635815377e+00
142, 3.865399956700000e-01, 5.847520956655861e-02, 5.311487681062560e+04, -1.062046702384794e+00, 1.337049450685845e+00
143, 4.019699990750000e-01, 5.792324246601335e-02, 5.281964548082597e+04, -1.068550511948249e+00, 1.341077210214954e+00
144, 4.174999892710000e-01, 5.729416860686566e-02, 5.252696190778581e+04, -1.074998195609385e+00, 1.345040470235778e+00
145, 4.331099987030000e-01, 5.659141825851464e-02, 5.223162055161810e+04, -1.081504429002809e+00, 1.349084385245603e+00
146, 4.487800002100000e-01, 5.581859897363720e-02, 5.194328874847431e+04, -1.087856245187112e+00, 1.353013491627029e+00
147, 4.645099937920000e-01, 5.497835513414191e-02, 5.167691930249520e+04, -1.093724240807180e+00, 1.356808988141192e+00
148, 4.802699983120000e-01, 5.407492053959814e-02, 5.144131239385043e+04, -1.098914551966567e+00, 1.359967763584844e+00
149, 4.960500001910000e-01, 5.311153541819326e-02, 5.124587504579239e+04, -1.103219946296562e+00, 1.362887311105661e+00
150, 5.118399858470000e-01, 5.209138375948307e-02, 5.107481543905093e+04, -1.106988310267286e+00, 1.365108898698629e+00
151, 5.276100039480000e-01, 5.101897737545535e-02, 5.091445490104370e+04, -1.110520978705286e+00, 1.367541510284609e+00
152, 5.433599948880000e-01, 4.989683951066199e-02, 5.082364992759341e+04, -1.112521370246171e+00, 1.369191095839192e+00
153, 5.590599775310000e-01, 4.872955796694115e-02, 5.093376439438501e+04, -1.110095599503344e+00, 1.367014941146259e+00
154, 5.747100114820000e-01, 4.751950934859488e-02, 5.108073985618664e+04, -1.106857798099586e+00, 1.364122886671237e+00
155, 5.902799963950000e-01, 4.627132533375768e-02, 5.060305075539707e+04, -1.117381067917127e+00, 1.376893409478570e+00
156, 6.057599782940000e-01, 4.498807223669178e-02, 5.067479010139504e+04, -1.115800683325512e+00, 1.352012143317062e+00
157, 6.211299896240000e-01, 4.367359094194759e-02, 6.106712569421888e+04, -8.868623397523242e-01, 1.194214482965237e+00
158, 6.363800168040000e-01, 4.233084266562091e-02, 8.863265981810591e+04, -2.796063802362908e-01, 8.535177799273088e-01
159, 6.514999866490000e-01, 4.096270419333766e-02, 1.025762746628243e+05, 2.756500173646197e-02, 7.433060884626959e-01
160, 6.664699912070000e-01, 3.957289370556494e-02, 1.022445496470830e+05, 2.025725316086337e-02, 7.488022909665344e-01
161, 6.812700033190000e-01, 3.816515293304169e-02, 1.009258524660163e+05, -8.793035449572299e-03, 7.598449058048690e-01
162, 6.958900094030001e-01, 3.674225211597043e-02, 1.009528959155966e+05, -8.197280770932777e-03, 7.592282314987822e-01
163, 7.103199958800001e-01, 3.530689307158652e-02, 1.011691808803588e+05, -3.432623093149231e-03, 7.570890717802291e-01
164, 7.245299816130000e-01, 3.386376679305321e-02, 1.012494688362680e+05, -1.663916581457320e-03, 7.560133097758713e-01
165, 7.385200262070000e-01, 3.241453277608040e-02, 1.013811670407342e+05, 1.237333913462667e-03, 7.545191292762565e-01
166, 7.522799968720000e-01, 3.096181144522562e-02, 1.016021012304441e+05, 6.104411865198319e-03, 7.521371754044396e-01
167, 7.657799720760000e-01, 2.951033727360171e-02, 1.018774084500418e+05, 1.216930250171284e-02, 7.492836506465608e-01
168, 7.790099978450000e-01, 2.806276676215449e-02, 1.021869973743902e+05, 1.898940322843262e-02, 7.460367558306938e-01
